t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
1041,14,1,-5.73055,-48.2543,73.442,37,5,2,2,1,0,0
1104,15,1,-5.65503,-48.4413,73.2556,36,4,1,3,0,0,0
1174,16,1,-5.56084,-48.3232,73.3773,41,4,1,2,0,0,0
1240,17,1,-5.67024,-48.2743,73.3978,38,5,2,2,1,0,0
1306,18,1,-5.64643,-48.3345,73.3752,37,5,1,3,0,0,1
1414,19,1,-5.61258,-48.3224,73.36,81,5,2,3,0,0,0
1476,20,1,-5.65413,-48.1977,73.5184,33,4,1,2,0,0,0
1542,21,1,-5.83447,-48.1361,73.5639,38,4,1,3,0,0,0
1607,22,1,-5.52077,-48.1783,73.5253,38,5,1,3,0,0,0
1675,23,1,-5.66168,-48.1531,73.5161,39,5,1,4,0,0,0
1739,24,1,-5.5548,-48.3413,73.3702,34,6,2,3,0,0,1
1804,25,1,-5.65435,-47.9891,73.723,38,5,2,2,0,0,0
1863,26,1,-5.72516,-48.2658,73.4533,32,4,1,2,0,0,0
1928,27,1,-5.64862,-48.177,73.5236,36,4,1,2,1,0,0
2000,28,1,-5.77551,-48.3429,73.3885,45,5,1,3,0,0,0
2062,29,1,-5.88841,-48.1501,73.5831,33,4,1,2,0,0,0
2140,30,1,-5.67487,-48.1318,73.5846,50,5,2,2,0,0,1
2200,31,1,-5.71742,-48.248,73.5048,32,4,1,3,0,0,0
2267,32,1,-5.81314,-48.2051,73.3846,38,4,1,2,0,0,0
2338,33,1,-5.7909,-48.3032,73.438,44,5,1,3,0,0,1
2400,34,1,-5.60885,-48.1553,73.4795,32,5,1,3,0,0,0
2466,35,1,-5.63496,-48.2478,73.5301,38,6,1,4,0,0,1
2532,36,1,-5.59876,-48.3631,73.3397,37,4,1,3,0,0,0
2595,37,1,-5.52324,-48.1947,73.4944,33,4,1,3,0,0,0
2661,38,1,-5.74557,-48.3499,73.3559,41,4,1,2,0,0,0
2727,39,1,-5.79785,-48.2834,73.3675,39,5,1,3,0,0,1
2794,40,1,-5.77239,-48.2104,73.4263,39,6,2,3,0,0,0
2857,41,1,-5.64815,-48.3153,73.3849,33,5,2,2,0,0,1
2924,42,1,-5.72386,-48.2225,73.4438,39,7,2,4,0,0,0
2998,43,1,-5.68155,-48.3292,73.3323,47,5,2,3,0,0,0
3058,44,1,-5.59226,-48.3287,73.3235,31,5,1,3,0,0,1
3125,45,1,-5.58044,-48.2306,73.4477,38,6,2,4,0,0,0
3188,46,1,-5.80824,-48.2663,73.4126,36,4,1,3,0,0,0
3257,47,1,-5.56683,-48.2096,73.5228,40,5,1,3,0,0,1
3323,48,1,-5.63811,-48.2313,73.4285,40,4,1,3,0,0,0
3388,49,1,-5.59544,-48.2442,73.3883,37,5,1,3,0,0,0
3456,50,1,-5.55498,-48.0139,73.6573,39,5,1,3,0,0,1
3523,51,1,-5.57271,-48.1998,73.4983,39,5,2,3,0,0,0
3585,52,1,-5.71533,-48.4821,73.2373,33,5,2,2,0,0,0
3651,53,1,-5.59543,-48.4206,73.2835,38,5,1,3,0,0,0
3715,54,1,-5.62001,-48.1267,73.6354,37,5,1,3,0,0,0
3782,55,1,-5.75088,-48.2846,73.3925,38,5,1,3,0,0,0
3853,56,1,-5.80205,-48.1609,73.5939,43,6,2,3,0,0,0
3912,57,1,-5.5416,-48.3399,73.3701,34,4,1,3,0,0,0
3977,58,1,-5.79095,-48.209,73.4678,38,3,0,3,0,0,0
4042,59,1,-5.63012,-48.2678,73.4439,39,4,1,2,0,0,1
4109,60,1,-5.83147,-48.1009,73.5388,40,4,1,3,0,0,0
4180,61,1,-5.6039,-48.2913,73.4227,44,4,1,2,0,0,0
4246,62,1,-5.55152,-48.1766,73.5252,37,5,1,3,0,0,1
4314,63,1,-5.67854,-48.2514,73.378,39,5,1,3,0,0,0
4377,64,1,-5.6384,-48.1494,73.4572,32,4,1,2,0,0,0
4443,65,1,-5.73188,-48.0616,73.5579,39,5,2,2,0,0,0
4508,66,1,-5.72547,-48.2705,73.4184,37,5,2,2,1,0,0
4575,67,1,-5.91836,-48.064,73.6432,40,4,1,3,0,0,0
4640,68,1,-5.77998,-47.9892,73.7,38,4,1,3,0,0,0
4703,69,1,-5.78179,-48.1941,73.5211,33,5,1,3,0,0,0
4770,70,1,-5.62313,-48.2205,73.4304,39,5,1,3,0,0,0
4833,71,1,-5.61282,-48.1978,73.4865,37,4,1,3,0,0,0
4933,72,1,-5.60747,-48.302,73.3573,74,4,1,2,0,0,0
5007,73,1,-5.72008,-48.1627,73.5626,44,5,1,3,0,0,1
5075,74,1,-5.7784,-48.2187,73.4051,42,4,1,2,1,0,0
5137,75,1,-5.58428,-48.1775,73.5072,34,4,1,2,0,0,0
5205,76,1,-5.74756,-48.2368,73.444,38,6,2,3,1,0,0
5271,77,1,-5.68563,-48.2847,73.3973,37,5,2,2,0,0,1
5338,78,1,-5.68747,-48.3282,73.3437,38,5,2,3,0,0,0
5404,79,1,-5.67174,-48.3062,73.3781,36,5,2,2,1,0,0
5471,80,1,-5.53669,-48.3554,73.3517,38,5,2,3,0,0,0
5535,81,1,-5.7014,-48.1215,73.577,33,5,1,3,0,0,0
5603,82,1,-5.67036,-48.357,73.3512,41,5,2,2,1,0,0
5667,83,1,-5.68347,-48.1806,73.5047,36,4,1,2,0,0,0
5732,84,1,-5.70799,-48.1588,73.6165,39,4,1,2,0,0,0
5796,85,1,-5.71515,-48.3689,73.2697,37,5,1,3,0,0,1
5863,86,1,-5.60612,-48.325,73.4337,40,6,1,4,0,0,1
5928,87,1,-5.4629,-48.1579,73.5175,37,6,2,3,0,0,0
5995,88,1,-5.70356,-48.1792,73.5338,38,5,1,3,0,0,1
6060,89,1,-5.71123,-48.2648,73.4305,39,4,1,3,0,0,0
6125,90,1,-5.64962,-48.175,73.5452,35,5,2,2,0,0,0
6190,91,1,-5.72461,-48.2863,73.4027,37,4,1,3,0,0,0
6255,92,1,-5.69668,-48.0679,73.6412,37,5,2,3,0,0,0
6318,93,1,-5.61115,-48.2643,73.4688,33,4,1,2,0,0,0
6390,94,1,-5.77529,-48.1257,73.6402,45,6,2,3,0,0,1
6450,95,1,-5.89264,-48.1479,73.6032,32,4,1,3,0,0,0
6515,96,1,-5.83751,-48.0951,73.5797,38,3,1,2,0,0,0
6583,97,1,-5.74994,-48.2497,73.4441,39,4,1,2,0,0,0
6655,98,1,-5.66514,-48.1805,73.4432,45,5,1,3,0,0,0
6726,99,1,-5.72027,-48.2614,73.4482,43,5,2,2,0,0,0
6788,100,1,-5.7181,-48.0776,73.5135,32,5,1,3,1,0,0
6851,101,1,-5.72618,-48.1159,73.6046,36,4,1,3,0,0,0
6915,102,1,-5.73839,-48.4388,73.2382,38,4,1,2,0,0,0
6981,103,1,-5.75458,-48.1589,73.4835,38,4,1,2,1,0,0
7046,104,1,-5.68545,-48.1378,73.4912,38,5,2,2,0,0,0
7107,105,1,-5.5577,-48.2481,73.4074,33,4,1,2,0,0,1
7182,106,1,-5.92985,-48.012,73.6623,49,4,1,2,0,0,0
7251,107,1,-5.67616,-48.3803,73.304,39,6,2,3,0,0,0
7318,108,1,-5.76601,-48.2457,73.4039,38,5,2,2,0,0,1
7381,109,1,-5.701,-48.314,73.4042,34,5,1,3,0,0,0
7450,110,1,-5.67634,-48.1248,73.4973,40,6,2,3,0,0,0
7511,111,1,-5.56913,-48.1521,73.5115,32,5,1,3,0,0,0
7578,112,1,-5.65569,-48.3161,73.3879,39,4,1,3,0,0,0
7646,113,1,-5.60393,-48.1491,73.5286,38,5,1,3,0,0,1
7713,114,1,-5.57982,-48.3276,73.3613,38,6,2,3,0,0,0
7774,115,1,-5.7756,-48.3313,73.3235,32,4,1,3,0,0,0
7842,116,1,-5.775,-48.208,73.4489,39,5,2,3,0,0,0
7909,117,1,-5.76026,-48.2035,73.5194,38,5,2,3,0,0,0
7972,118,1,-5.51921,-48.2466,73.4668,34,5,1,3,0,0,0
8038,119,1,-5.62358,-48.2648,73.4315,39,4,1,3,0,0,0
8100,120,1,-5.78351,-48.235,73.5164,36,4,1,3,0,0,0
8169,121,1,-5.71525,-48.2314,73.5324,41,5,1,3,0,0,1
8239,122,1,-5.76312,-48.2435,73.4333,40,7,3,3,0,0,0
8298,123,1,-5.66161,-48.1538,73.5128,31,5,1,3,0,0,1
8361,124,1,-5.50102,-48.2575,73.3932,37,4,1,2,0,0,0
8477,125,1,-5.73312,-48.2827,73.3473,87,6,2,3,0,0,0
8539,126,1,-5.76759,-48.1216,73.5609,34,4,1,2,0,0,0
8605,127,1,-5.6873,-48.3058,73.3574,40,5,1,3,0,0,1
8670,128,1,-5.749,-48.253,73.4321,36,5,1,3,0,0,0
8734,129,1,-5.77652,-48.2635,73.4781,38,4,1,3,0,0,0
8803,130,1,-5.72141,-48.0959,73.5962,40,5,1,3,0,0,0
8865,131,1,-5.76462,-48.1297,73.6312,34,4,1,3,0,0,0
8931,132,1,-5.67766,-48.3258,73.4514,37,5,1,3,0,0,0
8990,133,1,-5.58223,-48.2163,73.5002,32,4,1,2,0,0,0
9064,134,1,-5.79138,-48.0139,73.6692,46,5,1,3,0,0,0
9130,135,1,-5.88261,-48.1524,73.5309,40,4,1,3,0,0,0
9195,136,1,-5.76966,-48.0976,73.5839,38,5,1,3,0,0,1
9260,137,1,-5.90834,-48.1455,73.4274,38,5,1,3,0,0,0
9328,138,1,-5.69854,-48.101,73.6623,39,5,2,3,0,0,0
9395,139,1,-5.52386,-48.178,73.5392,39,4,1,3,0,0,0
9457,140,1,-5.63137,-48.1807,73.5706,33,5,2,2,0,0,0
9523,141,1,-5.79547,-48.2877,73.3724,38,5,1,3,0,0,0
9586,142,1,-5.7366,-48.4151,73.283,37,5,2,2,0,0,0
9658,143,1,-5.7772,-48.3126,73.345,44,5,1,3,0,0,0
9720,144,1,-5.82738,-48.1368,73.5363,36,4,1,3,0,0,0
9783,145,1,-5.63223,-48.2055,73.5407,36,4,1,2,0,0,0
9854,146,1,-5.71829,-48.1753,73.5413,44,4,1,2,0,0,1
9927,147,1,-5.6502,-48.1877,73.468,48,3,1,2,0,0,0
9992,148,1,-5.71682,-48.3348,73.4512,38,5,1,3,0,0,0
10059,149,1,-5.70184,-48.0773,73.5592,39,5,1,3,0,0,0
10120,150,1,-5.63677,-48.1151,73.679,31,4,1,3,0,0,0
10185,151,1,-5.53133,-48.2556,73.4595,38,4,1,2,0,0,0
10253,152,1,-5.59977,-48.2102,73.5292,39,5,2,2,0,0,1
10317,153,1,-5.57047,-48.3563,73.2978,39,4,1,2,0,0,0
10381,154,1,-5.62473,-48.2682,73.4325,37,4,1,3,0,0,0
10449,155,1,-5.6358,-48.1163,73.6374,39,5,2,2,1,0,0
10516,156,1,-5.7399,-48.3956,73.2933,40,4,1,3,0,0,0
10583,157,1,-5.63422,-48.2963,73.3946,40,5,1,3,0,0,1
10646,158,1,-5.86472,-48.0308,73.6468,34,5,1,3,0,0,0
10712,159,1,-5.75452,-48.3156,73.4184,38,5,2,2,0,0,0
10785,160,1,-5.48604,-48.1704,73.5663,45,5,1,3,0,0,0
10846,161,1,-5.70849,-48.2612,73.5072,33,5,1,3,0,0,1
10911,162,1,-5.64747,-48.1532,73.5439,37,5,1,3,0,0,1
10978,163,1,-5.73617,-48.0656,73.7068,39,5,1,3,0,0,0
11039,164,1,-5.88248,-48.1917,73.4458,32,5,2,2,0,1,0
11107,165,1,-5.72533,-48.2694,73.3995,41,6,2,3,0,0,0
11172,166,1,-5.84852,-48.1381,73.5184,38,4,1,3,0,0,0
11234,167,1,-5.69217,-48.1104,73.6151,36,4,1,2,0,0,0
11312,168,1,-5.66317,-48.086,73.5956,50,5,2,3,0,0,0
11376,169,1,-5.75746,-48.1716,73.446,37,5,1,3,0,0,0
11440,170,1,-5.70367,-48.3606,73.2345,37,4,2,2,0,0,0
11505,171,1,-5.52185,-48.2168,73.4726,39,4,1,3,0,0,0
11572,172,1,-5.8062,-48.1093,73.6015,40,4,1,2,1,0,0
11635,173,1,-5.56544,-48.3326,73.3906,37,4,1,2,0,0,0
11701,174,1,-5.72402,-48.279,73.4082,39,5,1,3,0,0,0
11767,175,1,-5.61827,-48.1779,73.5117,39,4,1,3,0,0,0
11834,176,1,-5.65035,-48.4018,73.3111,37,5,1,3,0,0,0
11929,177,1,-5.76528,-48.1636,73.5899,67,4,1,3,0,0,0
11995,178,1,-5.58671,-48.2366,73.476,40,4,1,2,0,0,0
12066,179,1,-5.60901,-48.3363,73.3853,42,4,1,2,0,0,1
12138,180,1,-5.71546,-48.3982,73.329,45,5,1,3,0,0,0
12198,181,1,-5.78835,-48.2775,73.4965,34,4,1,2,0,0,0
12269,182,1,-5.79802,-48.1231,73.5031,43,5,1,3,1,0,0
12333,183,1,-5.74922,-48.2347,73.3932,36,4,1,3,0,0,0
12402,184,1,-5.57671,-48.2592,73.496,39,5,2,2,0,0,0
12463,185,1,-5.69297,-48.3307,73.3774,33,5,2,2,0,0,0
12532,186,1,-5.63976,-48.0994,73.5584,40,5,1,3,0,0,0
12597,187,1,-5.61953,-48.2402,73.5171,38,5,2,3,0,0,0
12663,188,1,-5.7168,-48.3595,73.3381,33,6,2,3,0,0,0
12727,189,1,-5.73101,-48.3515,73.2983,36,5,2,3,0,0,0
12789,190,1,-5.62482,-48.276,73.4222,33,5,2,2,0,0,0
12852,191,1,-5.71176,-48.2314,73.4405,37,4,1,2,0,0,0
