t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
35,0,1,-0.42763,-16.5513,200.662,23,12,2,8,0,0,1
270,1,1,-1.70929,-16.885,200.693,20,7,2,4,0,0,0
325,2,1,-2.12949,-19.8331,200.287,18,7,2,4,0,0,0
386,3,1,-2.39388,-17.3626,200.568,20,9,3,5,0,0,0
442,4,1,-1.14177,-18.8474,200.35,17,9,2,6,0,0,0
515,5,1,-0.944251,-19.0011,200.352,27,13,3,9,0,0,0
587,6,1,-1.45619,-18.5282,200.445,20,12,3,7,0,0,0
641,7,0,-1.45619,-18.5282,200.445,18,6,1,5,0,0,0
1075,8,1,-2.36886,-20.2748,200.381,30,9,3,6,0,0,0
1172,9,1,0.688997,-14.8774,201.147,21,8,2,5,0,0,1
1224,10,1,-2.0812,-17.0876,202.067,16,8,2,5,0,0,1
1284,11,1,-13.209,-19.9945,203.134,18,8,2,5,0,1,0
1363,12,1,-21.5385,-20.1476,201.987,18,9,2,6,0,0,0
1424,13,1,-46.4271,-22.0029,196.706,19,10,2,6,0,0,1
1478,14,1,-53.6628,-14.2791,197.519,17,6,1,5,0,0,0
1537,15,1,-70.2325,-16.5433,196.74,19,7,2,4,0,0,0
1593,16,1,-78.4648,-19.1788,196.745,20,6,1,4,0,0,0
1649,17,1,-88.72,-20.3585,195.096,19,8,2,4,0,0,1
1709,18,1,-98.446,-18.9133,194.52,19,10,2,7,0,0,0
1770,19,1,-105.534,-18.6227,192.525,18,8,2,5,0,0,0
1833,20,1,-107.376,-19.2677,191.888,22,8,2,5,0,0,1
1889,21,1,-109.114,-18.7775,191.564,19,6,1,5,0,0,0
1947,22,1,-112.696,-19.6276,190.143,19,7,1,5,0,0,1
2013,23,1,-114.669,-19.4971,189.653,27,8,3,5,0,0,0
2074,24,0,-114.669,-19.4971,189.653,21,9,3,6,0,0,0
2127,25,0,-114.669,-19.4971,189.653,18,6,2,4,0,0,0
2184,26,1,-126.612,-18.3332,184.916,19,7,1,5,0,0,0
2242,27,1,-132.187,-20.3431,181.452,22,7,2,4,0,1,0
2293,28,1,-130.778,-19.3915,182.523,15,7,2,4,0,0,0
2351,29,0,-130.778,-19.3915,182.523,19,7,2,5,0,0,0
2407,30,1,-127.27,-19.3103,164.784,18,8,3,4,0,0,0
2464,31,0,-127.27,-19.3103,164.784,19,7,2,4,0,0,0
2525,32,1,-121.672,-16.3921,151.938,20,11,3,7,0,0,1
2579,33,1,-116.629,-15.1037,149.515,18,7,1,5,0,0,0
2634,34,1,-101.572,-18.5707,147.864,20,7,2,5,0,0,0
2689,35,1,-88.911,-19.5114,151.488,18,7,2,4,1,0,0
2747,36,1,-79.1089,-19.0933,153.573,23,6,1,5,0,0,0
2814,37,1,-68.0251,-19.0469,153.335,24,11,4,6,0,0,0
2946,38,1,-54.6812,-19.4825,152.748,25,9,3,5,0,0,0
3016,39,1,-42.9394,-14.3451,152.629,20,9,3,5,0,0,0
3083,40,1,-32.0345,-16.6477,152.062,21,7,1,5,0,0,0
3145,41,1,-25.5111,-18.1969,151.222,19,8,2,5,0,0,0
3209,42,1,-18.403,-18.1697,151.305,18,8,2,5,0,0,0
3265,43,1,-11.9761,-18.6888,150.616,20,7,2,4,0,0,1
3324,44,1,-12.5917,-17.6092,150.083,19,9,1,6,0,0,1
3382,45,1,-7.50922,-18.3789,149.075,21,8,2,5,1,0,0
3452,46,1,0.428567,-18.6618,148.219,19,8,2,5,0,0,0
3506,47,1,7.70492,-19.4531,147.749,17,6,1,5,0,0,0
3565,48,1,16.1773,-18.538,146.679,20,8,2,5,0,0,0
3619,49,1,28.4071,-17.8008,145.105,17,9,2,6,1,0,0
3674,50,1,36.541,-17.9397,143.249,19,7,2,4,0,0,0
3731,51,1,46.5623,-16.7726,143.207,21,8,2,5,0,0,1
3788,52,1,56.6835,-15.1154,142.284,18,8,2,5,0,0,1
3842,53,1,65.4297,-16.782,139.974,18,8,2,5,1,0,0
3896,54,1,78.0205,-14.3166,138.608,16,9,3,5,0,0,0
3948,55,1,88.0313,-18.615,137.263,16,8,2,5,0,0,0
