t,frame,detected,x,y,z,t_grab,t_total,p,t_search,t_approx,t_refine,t_estimate
376,0,1,-0.427247,-16.5502,200.662,171,204,72,103,3,0,5
756,1,1,-1.71013,-16.8853,200.693,149,191,69,96,1,0,4
1342,2,1,-2.12889,-19.8318,200.287,282,297,137,134,1,0,4
1677,3,1,-2.39244,-17.3629,200.568,145,181,64,91,1,0,3
2008,4,1,-1.14298,-18.8451,200.35,143,181,65,90,1,1,3
2339,5,1,-0.942877,-19.0039,200.352,143,181,65,91,2,0,4
2672,6,1,-1.4563,-18.5311,200.444,142,185,65,91,1,0,6
3206,7,0,-1.4563,-18.5311,200.444,165,359,134,185,0,0,0
3559,8,1,-2.36854,-20.2731,200.381,171,181,65,90,1,0,4
3892,9,1,0.688441,-14.8745,201.147,143,183,64,91,1,0,5
4226,10,1,-2.08105,-17.0888,202.067,145,182,65,90,1,0,4
4562,11,1,-13.2094,-19.9958,203.134,145,185,65,90,1,0,7
5004,12,1,-21.5395,-20.1476,201.987,145,289,64,167,5,0,10
5483,13,1,-46.4311,-21.9985,196.705,287,185,65,91,1,0,5
5819,14,1,-53.6638,-14.2798,197.519,145,184,65,89,1,0,6
6154,15,1,-70.2325,-16.5428,196.74,146,182,65,91,1,0,3
6493,16,1,-78.4649,-19.1791,196.745,149,182,64,92,1,0,4
6870,17,1,-88.72,-20.3581,195.096,149,222,64,95,1,1,10
7411,18,1,-98.4453,-18.9118,194.521,324,212,95,91,1,0,3
7742,19,1,-105.534,-18.6227,192.525,144,180,64,91,1,0,3
8074,20,1,-107.376,-19.2676,191.888,144,181,65,90,1,0,4
8405,21,1,-109.115,-18.7773,191.564,143,181,65,90,1,0,4
8737,22,1,-112.702,-19.6244,190.137,143,182,65,90,1,0,3
9313,23,1,-114.668,-19.4971,189.653,249,320,135,159,1,0,3
9634,24,0,-114.668,-19.4971,189.653,142,172,65,88,0,0,0
9952,25,0,-114.668,-19.4971,189.653,142,175,65,92,0,0,0
10284,26,1,-126.612,-18.3332,184.916,147,184,67,90,1,0,4
10616,27,1,-132.188,-20.3414,181.451,146,180,64,90,1,0,3
11090,28,0,-132.188,-20.3414,181.451,145,320,93,189,0,0,0
11521,29,1,-133.211,-20.0118,174.662,244,185,65,91,1,0,7
11860,30,1,-127.271,-19.3102,164.784,146,185,65,92,1,0,6
12201,31,1,-123.391,-18.2505,160.053,148,186,64,92,1,0,6
12532,32,1,-121.673,-16.3923,151.938,144,181,65,90,1,0,3
12937,33,1,-116.629,-15.1021,149.516,148,250,64,128,1,0,10
13451,34,1,-101.572,-18.5706,147.864,326,182,64,92,1,0,3
13783,35,1,-88.911,-19.5116,151.488,143,181,64,91,1,0,4
14118,36,1,-79.1088,-19.0938,153.573,147,181,64,91,2,0,3
14453,37,1,-68.0255,-19.0467,153.335,146,182,64,91,1,0,3
14788,38,1,-54.6814,-19.4828,152.747,148,182,64,91,2,0,3
15374,39,1,-42.9371,-14.3521,152.628,310,269,137,105,1,0,4
15716,40,1,-32.0338,-16.6487,152.062,148,182,64,91,1,0,4
16053,41,1,-25.511,-18.197,151.222,147,182,64,92,1,1,3
16389,42,1,-18.4039,-18.168,151.305,145,183,65,91,2,0,4
16729,43,1,-11.9753,-18.6887,150.616,149,184,64,93,1,0,3
17315,44,1,-12.5918,-17.6088,150.083,235,345,134,179,1,0,8
17654,45,1,-7.51027,-18.3789,149.075,147,184,65,92,1,1,3
17987,46,1,0.427397,-18.6587,148.22,144,183,65,91,1,0,3
18324,47,1,7.70518,-19.4536,147.748,147,183,65,91,2,0,4
18659,48,1,16.1759,-18.5396,146.679,145,183,65,91,2,0,3
19209,49,1,28.4072,-17.8006,145.105,146,397,133,195,2,1,15
19572,50,1,36.5395,-17.9395,143.25,176,185,64,91,1,1,6
19909,51,1,46.5622,-16.7725,143.207,144,186,65,91,2,0,6
20246,52,1,56.6834,-15.1158,142.284,144,186,64,93,1,0,6
20581,53,1,65.4296,-16.7817,139.974,145,182,64,90,2,0,4
21797,54,1,78.0205,-14.3165,138.608,146,182,64,90,2,0,4
22132,55,1,88.0325,-18.6165,137.262,144,184,64,91,1,0,7
