frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
0,1,-0.427228,-0.427228,-0.427228,146,82,44,28,2,2,6
1,1,-1.70864,-1.70864,-1.70864,148,86,43,34,1,2,3
2,1,-2.12811,-2.12811,-2.12811,145,85,43,34,1,2,3
3,1,-2.39586,-2.39586,-2.39586,143,84,43,31,1,2,3
4,1,-1.14251,-1.14251,-1.14251,143,79,43,28,1,2,3
5,1,-0.943096,-0.943096,-0.943096,141,80,44,28,1,2,3
6,1,-1.45656,-1.45656,-1.45656,143,82,43,28,1,2,6
7,0,-1.45656,-1.45656,-1.45656,140,70,43,25,0,0,0
8,1,-2.36881,-2.36881,-2.36881,145,81,43,29,1,2,4
9,1,0.691243,0.691243,0.691243,142,85,43,32,0,2,5
10,1,-2.08171,-2.08171,-2.08171,145,80,42,29,1,2,5
11,1,-13.2096,-13.2096,-13.2096,144,80,43,25,1,2,7
12,1,-21.539,-21.539,-21.539,145,77,43,26,1,2,3
13,1,-46.4267,-46.4267,-46.4267,148,87,43,34,0,3,5
14,1,-53.6638,-53.6638,-53.6638,144,80,43,26,0,3,6
15,1,-70.2327,-70.2327,-70.2327,146,80,43,28,0,2,4
16,1,-78.4657,-78.4657,-78.4657,149,77,43,26,1,2,4
17,1,-88.7198,-88.7198,-88.7198,149,80,43,27,0,3,5
18,1,-98.4473,-98.4473,-98.4473,144,76,43,25,0,3,3
19,1,-105.535,-105.535,-105.535,141,76,43,25,1,2,3
20,1,-107.375,-107.375,-107.375,143,78,43,27,1,2,3
21,1,-109.115,-109.115,-109.115,143,77,43,26,0,3,3
22,1,-112.696,-112.696,-112.696,143,77,43,26,0,3,3
23,1,-114.668,-114.668,-114.668,143,81,43,30,1,2,3
24,0,-114.668,-114.668,-114.668,142,70,44,24,0,0,0
25,0,-114.668,-114.668,-114.668,141,70,43,25,0,0,0
26,1,-126.612,-126.612,-126.612,146,87,43,35,0,2,5
27,1,-132.186,-132.186,-132.186,146,77,43,25,1,3,3
28,1,-130.778,-130.778,-130.778,144,79,44,27,0,2,3
29,1,-133.211,-133.211,-133.211,147,83,43,29,1,2,6
30,1,-127.271,-127.271,-127.271,146,82,43,29,0,3,5
31,1,-123.391,-123.391,-123.391,147,87,43,33,0,3,6
32,1,-121.672,-121.672,-121.672,143,77,43,26,1,2,3
33,1,-116.629,-116.629,-116.629,147,88,43,35,1,3,3
34,1,-101.572,-101.572,-101.572,146,88,43,37,1,2,3
35,1,-88.9105,-88.9105,-88.9105,142,79,44,27,1,2,3
36,1,-79.1091,-79.1091,-79.1091,145,79,43,28,0,2,3
37,1,-68.0255,-68.0255,-68.0255,146,81,44,28,1,2,3
38,1,-54.6816,-54.6816,-54.6816,146,83,42,32,1,2,4
39,1,-42.9376,-42.9376,-42.9376,146,81,43,29,1,2,4
40,1,-32.0346,-32.0346,-32.0346,147,82,43,31,0,3,3
41,1,-25.5108,-25.5108,-25.5108,146,81,43,30,1,2,3
42,1,-18.4011,-18.4011,-18.4011,144,81,43,30,1,2,3
43,1,-11.9758,-11.9758,-11.9758,148,85,44,32,1,2,4
44,1,-12.5915,-12.5915,-12.5915,146,87,44,30,1,2,8
45,1,-7.51017,-7.51017,-7.51017,146,81,43,29,1,2,4
46,1,0.428024,0.428024,0.428024,147,79,43,28,0,2,4
47,1,7.70446,7.70446,7.70446,147,82,43,31,0,3,3
48,1,16.1763,16.1763,16.1763,145,78,43,27,1,2,3
49,1,28.4075,28.4075,28.4075,145,87,43,32,1,2,7
50,1,36.5396,36.5396,36.5396,145,82,43,27,1,2,7
51,1,46.5627,46.5627,46.5627,144,85,44,30,1,2,6
52,1,56.6834,56.6834,56.6834,145,80,42,28,0,2,6
53,1,65.4296,65.4296,65.4296,143,79,43,26,0,3,4
54,0,65.4296,65.4296,65.4296,144,73,43,28,0,0,0
55,1,88.0322,88.0322,88.0322,147,80,44,26,0,3,5
56,0,88.0322,88.0322,88.0322,144,77,44,31,0,0,0
57,1,107.901,107.901,107.901,147,83,44,28,1,2,6
58,1,120.496,120.496,120.496,146,81,44,29,0,3,3
59,0,120.496,120.496,120.496,146,70,43,25,0,0,0
60,1,143.638,143.638,143.638,146,79,44,25,0,4,3
61,0,143.638,143.638,143.638,148,75,43,30,0,0,0
62,0,143.638,143.638,143.638,148,71,43,27,0,0,0
63,0,143.638,143.638,143.638,146,79,44,32,0,0,0
64,0,143.638,143.638,143.638,147,72,44,26,0,0,0
65,0,143.638,143.638,143.638,147,77,43,32,0,0,0
66,0,143.638,143.638,143.638,148,69,43,24,0,0,0
67,0,143.638,143.638,143.638,147,69,43,24,0,0,0
68,0,143.638,143.638,143.638,150,70,43,25,0,0,0
69,0,143.638,143.638,143.638,147,70,44,24,0,0,0
70,0,143.638,143.638,143.638,152,70,43,24,0,0,0
71,0,143.638,143.638,143.638,144,73,44,27,0,0,0
72,0,143.638,143.638,143.638,146,71,43,26,0,0,0
73,0,143.638,143.638,143.638,147,71,43,26,0,0,0
74,0,143.638,143.638,143.638,146,72,44,26,0,0,0
75,0,143.638,143.638,143.638,144,72,43,26,0,0,0
76,1,100.429,100.429,100.429,146,82,44,27,1,2,6
77,1,87.0989,87.0989,87.0989,251,136,88,40,0,3,3
