frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
0,1,36.0815,-151.812,657.188,1170,35,4,8,2,4,15
1,1,36.8002,-151.398,657.245,158,26,3,7,0,4,11
2,1,38.7669,-152.87,656.692,168,28,4,7,0,4,11
3,1,38.7973,-152.714,656.61,169,27,3,7,0,3,11
4,1,35.8795,-151.549,657.14,169,61,3,20,1,7,29
5,1,37.1967,-151.811,657.235,135,63,7,14,1,7,30
6,1,37.8663,-152.381,657.201,132,27,3,7,1,2,12
7,1,36.2797,-151.886,657.291,169,27,3,7,1,3,11
8,1,37.2288,-151.64,657.644,169,26,3,7,0,3,12
9,1,38.4819,-150.897,657.99,169,59,3,18,5,5,26
10,1,37.9926,-150.595,658.105,118,65,6,18,1,8,30
11,1,38.8771,-150.887,658.239,132,27,3,8,1,3,11
12,1,38.8405,-151.979,657.826,169,27,3,8,1,3,11
13,1,38.2163,-151.648,657.632,169,27,3,8,1,3,11
14,1,39.7282,-150.362,658.074,169,59,6,13,5,7,26
15,1,37.6653,-150.429,658.35,136,63,7,16,3,7,28
16,1,37.933,-151.617,657.597,133,27,3,8,1,3,11
17,1,38.0128,-150.314,658.215,169,27,3,8,1,3,11
18,1,37.6682,-150.444,658.026,169,27,3,8,1,3,11
19,1,38.3417,-150.178,658.251,165,59,5,16,1,9,26
20,1,39.9252,-150.669,658.003,138,64,4,16,0,7,32
21,1,38.1346,-151.843,657.742,131,27,3,8,0,3,11
22,1,37.3113,-150.502,658.181,169,27,3,8,1,3,11
23,1,38.1411,-151.692,657.633,169,27,3,8,1,3,11
24,1,38.2377,-150.815,658.166,169,59,5,16,0,7,29
25,1,38.7413,-151.705,657.608,137,64,7,15,1,6,31
26,1,40.0045,-151.116,657.881,133,27,4,7,0,3,11
27,1,40.048,-151.71,657.74,169,28,4,8,1,3,11
28,1,40.4417,-151.877,657.731,168,27,4,7,0,3,12
29,1,39.1232,-151.884,657.876,169,59,5,17,1,3,31
30,1,38.5044,-151.235,658.267,138,66,5,18,1,7,31
31,1,39.5589,-151.365,657.691,133,27,3,8,1,3,11
32,1,38.1513,-151.526,657.792,169,26,3,7,1,3,11
33,1,38.8744,-151.306,657.681,168,27,4,7,1,3,11
34,1,38.3973,-150.812,658.097,170,58,7,15,1,7,26
35,1,39.8081,-151.153,657.936,137,63,3,21,2,6,29
36,1,39.4638,-151.515,657.881,3,36,10,9,1,3,11
37,1,39.9521,-150.913,657.87,3,28,3,8,0,4,11
38,1,37.2198,-151.116,657.892,3,27,3,8,0,3,11
39,1,39.242,-150.726,658.207,3,27,4,7,0,3,11
40,1,40.093,-151.814,657.633,253,28,3,8,1,3,13
41,1,39.217,-150.88,658.008,168,27,3,7,1,3,11
42,1,38.8507,-151.703,657.948,169,59,3,18,1,7,27
43,1,40.6319,-150.767,658.279,137,64,7,13,1,7,28
44,1,39.7829,-151.259,658.057,134,27,3,8,1,3,11
45,1,38.1936,-152.261,657.932,169,27,3,8,0,3,12
46,1,39.4082,-150.327,658.532,168,27,3,8,1,3,11
47,1,39.2932,-150.031,658.608,169,101,4,31,0,8,36
48,1,37.991,-151.372,658.279,97,88,7,24,1,13,39
49,1,39.2166,-150.324,658.445,105,88,9,22,8,9,36
50,1,40.5662,-151.519,658.112,108,27,3,7,1,3,11
51,1,38.5823,-150.779,658.483,169,26,3,7,1,3,10
52,1,39.0595,-152.266,657.909,170,60,5,18,1,7,28
53,1,40.4576,-151.235,658.221,136,64,7,14,3,8,31
54,1,40.0435,-151.304,657.991,131,27,3,7,1,3,11
55,1,38.4016,-150.135,658.653,154,26,3,8,1,3,11
56,1,38.8635,-151.835,658.023,169,26,3,7,1,3,11
57,1,38.9961,-150.515,658.466,169,59,8,15,1,7,26
58,1,39.9408,-150.795,658.434,136,62,8,16,1,6,31
59,1,38.1551,-150.939,658.519,135,27,3,8,0,3,11
60,1,39.2991,-149.686,658.598,169,27,3,8,1,3,11
61,1,39.8622,-151.105,658.304,169,27,3,8,1,3,11
62,1,39.8157,-151.556,658.145,169,55,6,17,0,7,24
63,1,39.126,-149.956,658.536,134,62,7,16,3,5,31
64,1,41.0057,-151.653,658.034,135,27,3,8,0,3,11
65,1,38.6923,-151.403,658.125,168,27,3,8,0,3,11
66,1,39.3166,-150.375,658.462,169,27,3,8,1,3,11
67,1,39.3011,-151.258,658.267,169,65,7,18,0,5,28
68,1,40.443,-152.115,657.997,3,30,6,8,1,3,11
69,1,40.4928,-151.05,658.279,4,29,5,8,0,3,12
70,1,38.6525,-150.735,658.428,4,26,3,7,0,3,11
71,1,40.9747,-150.274,658.535,3,27,3,8,1,3,11
72,1,40.3942,-150.622,658.269,3,27,3,8,1,3,11
73,1,39.5478,-151.576,657.679,119,62,4,16,1,5,31
74,1,40.495,-150.675,658.058,135,62,7,14,1,9,29
75,1,38.9414,-151.568,657.911,130,27,3,7,1,2,11
76,1,39.0125,-151.153,658.196,168,27,3,7,0,3,11
77,1,38.5836,-150.538,658.378,170,26,3,7,0,3,11
78,1,40.3149,-150.441,658.513,170,59,7,16,1,5,26
79,1,40.531,-151.381,658.279,136,61,3,20,0,8,28
80,1,40.0474,-151.776,658.039,136,26,3,8,1,3,11
81,1,39.1751,-149.809,658.681,169,27,3,7,1,3,11
82,1,40.2098,-151.109,658.177,169,26,3,7,1,2,12
83,1,40.3293,-150.607,658.382,169,59,7,15,0,6,29
84,1,40.725,-150.267,658.497,137,63,8,16,1,5,27
85,1,40.3652,-150.271,658.395,135,27,3,8,1,3,11
86,1,40.731,-151.346,658.163,169,27,3,7,1,3,11
87,1,40.7098,-151.457,658.09,169,27,3,7,1,3,11
88,1,39.8168,-151.05,658.369,169,58,7,16,1,6,24
89,1,39.6524,-150.878,658.38,137,60,5,16,1,11,25
90,1,38.8968,-151.667,658.182,136,27,3,8,1,3,11
91,1,38.3444,-151.32,658.323,158,27,3,8,1,3,11
92,1,40.474,-151.456,658.015,169,27,3,7,1,3,11
93,1,40.0913,-150.624,658.424,169,56,7,14,0,3,27
94,1,38.7393,-150.993,658.344,136,61,8,15,4,3,30
95,1,38.9668,-149.996,658.575,135,27,3,8,1,3,11
96,1,40.0942,-150.63,658.368,169,27,3,8,1,3,11
97,1,39.3691,-150.771,658.502,169,27,3,8,1,3,11
98,1,39.3719,-150.89,658.39,169,62,8,16,3,5,29
99,1,40.6659,-151.199,658.233,136,58,6,16,0,8,25
100,1,41.1197,-150.368,658.32,134,27,4,7,0,3,12
101,1,39.7251,-150.024,658.686,169,26,3,7,0,3,12
102,1,38.861,-149.865,658.774,168,27,4,7,0,3,11
103,1,40.8671,-150.092,658.485,166,60,5,17,3,5,29
104,1,39.8414,-150.55,658.442,136,63,7,15,1,3,31
105,1,39.9775,-151.207,658.171,135,26,3,7,1,2,12
106,1,39.9602,-150.307,658.53,169,27,3,7,1,2,12
107,1,38.0359,-151.33,658.274,169,26,3,7,0,4,10
108,1,41.1996,-151.025,658.246,170,61,3,18,0,5,32
109,1,40.1358,-150.327,658.649,136,58,6,14,1,11,24
110,1,40.0756,-150.37,658.418,138,27,3,8,1,3,11
111,1,41.2675,-151.518,658.132,169,27,3,8,1,3,11
112,1,39.7195,-150.662,658.381,169,27,3,8,1,3,11
113,1,38.9245,-150.719,658.373,169,61,6,14,4,7,28
114,1,40.9347,-151.394,658.122,136,61,5,15,1,6,27
115,1,39.478,-150.955,658.313,135,27,3,8,1,3,11
116,1,38.8569,-151.283,658.426,169,27,3,8,1,3,11
117,1,39.3556,-150.606,658.414,165,27,3,8,1,3,11
118,1,39.1713,-150.412,658.532,169,61,6,17,1,7,24
119,1,39.1986,-150.559,658.584,139,62,4,18,1,5,28
120,1,38.5262,-149.704,658.718,135,26,3,7,0,3,12
121,1,40.3209,-150.42,658.447,168,28,3,7,0,3,12
122,1,40.0292,-151.9,658.032,168,27,4,7,1,2,12
123,1,39.2785,-152.023,657.948,168,61,7,15,0,6,29
124,1,40.628,-151.288,658.288,135,60,7,15,3,5,28
125,1,39.6126,-149.77,658.629,136,26,3,7,1,3,11
126,1,40.3995,-149.867,658.678,165,26,3,7,0,3,12
127,1,39.8522,-151.513,658.197,169,26,3,7,1,2,11
128,1,40.1839,-149.594,658.75,170,60,7,14,0,9,26
129,1,38.0242,-150.054,658.617,137,63,5,16,1,7,28
130,1,42.2703,-150.584,658.289,134,26,3,7,1,3,11
131,1,38.7721,-150.807,658.376,169,26,3,7,1,3,11
132,1,41.5424,-151.596,658.054,169,26,3,7,1,2,12
133,1,41.4101,-152.057,657.741,169,59,5,15,1,11,26
134,1,39.8754,-150.869,658.326,137,62,7,16,1,8,30
135,1,40.7863,-151.894,657.886,135,27,3,8,0,3,11
136,1,39.8386,-151.235,658.203,168,27,4,7,0,3,12
137,1,40.807,-150.706,658.338,168,28,4,7,0,3,12
138,1,39.0528,-150.749,658.569,169,59,5,18,3,5,27
139,1,38.0223,-151.877,658.194,137,60,5,18,3,4,29
140,1,39.7465,-150.818,658.187,136,27,3,7,1,3,11
141,1,40.46,-150.533,658.361,169,27,3,7,1,2,12
142,1,40.7663,-150.168,658.587,169,26,3,7,0,3,12
143,1,41.9422,-151.186,658.063,164,60,5,14,0,8,27
144,1,39.5364,-151.175,658.182,138,62,7,16,1,6,27
145,1,39.2266,-150.674,658.472,137,27,3,8,1,3,11
146,1,38.5167,-150.356,658.461,169,27,3,7,1,3,11
147,1,41.0088,-150.003,658.529,169,27,3,8,1,3,11
148,1,38.9118,-151.043,658.343,169,59,3,18,0,9,28
149,1,40.058,-150.054,658.552,132,61,8,15,3,7,27
150,1,38.4364,-150.749,658.445,135,27,3,8,0,3,11
151,1,39.7021,-151.972,657.994,169,27,3,8,0,3,11
152,1,41.6836,-150.846,658.299,169,27,3,8,1,3,11
153,1,40.4761,-151.293,658.175,170,61,7,15,1,7,28
154,1,40.0199,-150.841,658.283,138,63,7,15,3,6,30
155,1,41.2457,-150.879,658.284,134,26,3,7,0,3,12
156,1,40.6367,-151.78,657.961,168,27,4,7,0,3,12
157,1,38.8723,-150.856,658.389,170,26,3,7,0,3,12
158,1,39.9938,-150.516,658.435,170,60,7,14,1,7,30
159,1,39.4207,-151.148,658.157,137,62,5,19,0,3,29
160,1,40.2911,-151.304,658.144,135,27,3,7,1,3,11
161,1,41.2653,-150.443,658.504,169,27,3,7,1,3,11
162,1,39.7032,-149.87,658.756,169,26,3,7,1,2,12
163,1,40.6037,-151.346,657.685,169,61,6,15,1,7,30
164,1,40.708,-151.21,657.93,135,60,7,16,1,7,27
165,1,39.6061,-151.219,658.082,135,26,3,7,1,3,11
166,1,40.6948,-150.857,658.198,169,27,3,7,1,3,11
167,1,39.8373,-150.652,658.364,169,26,3,7,1,3,11
168,1,40.2747,-150.4,658.577,169,61,3,18,4,3,31
169,1,39.2365,-150.856,658.343,135,62,4,18,3,3,32
170,1,39.9934,-151.733,658.054,134,27,3,8,0,3,11
171,1,38.1562,-150.981,658.573,169,27,3,8,1,3,11
172,1,38.2139,-150.339,658.656,169,26,3,8,1,3,11
173,1,38.8848,-150.392,658.447,170,61,6,16,1,9,27
174,1,40.4268,-150.898,658.298,135,65,8,14,1,4,30
175,1,39.648,-150.408,658.435,128,28,3,8,1,3,12
176,1,40.5655,-150.543,658.478,168,27,3,8,1,3,11
177,1,40.3079,-150.958,658.324,169,27,3,8,1,3,11
178,1,40.1641,-150.614,658.489,169,57,3,18,4,3,27
179,1,40.1874,-151.566,658.141,138,60,7,16,0,8,25
180,1,39.2389,-150.6,658.567,133,27,3,8,1,3,11
181,1,40.5123,-149.949,658.631,168,27,3,8,1,3,11
182,1,39.0189,-151.164,658.308,169,26,3,8,1,3,11
183,1,41.0783,-151.452,657.999,169,63,8,14,0,7,29
184,1,40.7738,-151.212,658.12,136,60,7,15,1,7,27
185,1,40.7322,-149.67,658.616,133,27,3,8,0,3,11
186,1,39.6017,-151.057,658.304,168,27,3,8,0,3,11
187,1,42.0951,-150.607,658.327,169,27,3,8,0,3,11
188,1,40.4127,-149.34,658.834,169,60,7,14,1,7,26
189,1,41.383,-150.643,658.193,138,63,8,11,5,3,34
190,1,42.5879,-150.989,658.107,133,26,3,7,1,2,12
191,1,39.2396,-151.084,658.394,169,26,3,7,0,3,11
192,1,40.0934,-150.906,658.307,170,26,3,7,0,3,12
193,1,39.5047,-150.442,658.406,170,61,5,16,0,7,27
194,1,37.9593,-151.11,658.234,138,62,7,14,1,7,29
195,1,39.6655,-150.96,658.3,135,27,3,8,1,3,11
196,1,40.4339,-149.877,658.602,169,27,3,7,1,3,11
197,1,40.7859,-151.366,658.026,169,27,3,7,1,3,11
198,1,39.9654,-149.955,658.626,170,60,5,18,0,6,29
199,1,38.7736,-150.633,658.409,137,61,6,18,1,6,26
200,1,39.0197,-150.863,658.362,134,27,3,8,1,3,11
201,1,40.215,-151.293,658.215,165,27,3,8,1,3,11
202,1,41.5321,-151.173,658.136,169,27,3,8,1,3,11
203,1,40.0458,-151.013,658.282,169,56,6,17,1,7,23
204,1,40.5793,-151.345,658.069,140,62,7,14,1,7,30
205,1,40.638,-151.164,658.21,135,26,3,7,1,2,12
206,1,40.3472,-151.442,658.157,168,27,4,7,0,3,12
207,1,40.4683,-151.799,658.085,169,26,3,7,0,3,12
208,1,38.3386,-150.543,658.589,170,58,7,15,0,7,27
209,1,39.9134,-149.223,658.862,138,62,3,19,3,5,30
210,1,38.8322,-151.263,658.087,133,26,3,7,1,3,11
