frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
0,1,-0.427228,-16.5519,200.662,21,6,3,2,0,0,1
1,1,-1.70864,-16.8826,200.693,18,6,2,4,0,0,0
2,1,-2.12811,-19.8323,200.287,21,7,3,3,0,0,1
3,1,-2.39586,-17.3621,200.568,19,5,2,3,0,0,0
4,1,-1.14251,-18.8457,200.35,18,4,2,2,0,0,0
5,1,-0.943096,-19.0033,200.352,17,5,2,3,0,0,0
6,1,-1.45656,-18.5301,200.445,16,4,1,3,0,0,0
7,0,-1.45656,-18.5301,200.445,16,5,2,3,0,0,0
8,1,-2.36881,-20.2741,200.381,17,5,2,2,0,0,1
9,1,0.691243,-14.8749,201.147,15,5,2,3,0,0,0
10,1,-2.08171,-17.0891,202.067,15,5,2,3,0,0,0
11,1,-13.2096,-19.9962,203.134,16,5,2,2,0,0,1
12,1,-21.539,-20.1476,201.987,16,5,2,3,0,0,0
13,1,-46.4267,-22.0027,196.706,17,9,4,4,0,0,1
14,1,-53.6638,-14.2788,197.519,18,4,2,2,0,0,0
15,1,-70.2327,-16.5424,196.74,16,6,2,3,0,0,1
16,1,-78.4657,-19.1772,196.745,17,6,3,2,0,0,1
17,1,-88.7198,-20.3579,195.096,17,4,2,2,0,0,0
18,1,-98.4473,-18.9128,194.519,15,4,2,2,0,0,0
19,1,-105.535,-18.6224,192.525,16,4,2,2,0,0,0
20,1,-107.375,-19.2677,191.888,17,5,2,3,0,0,0
21,1,-109.115,-18.7773,191.564,17,6,3,3,0,0,0
22,1,-112.696,-19.6281,190.143,17,4,2,2,0,0,0
23,1,-114.668,-19.4982,189.653,16,5,2,3,0,0,0
24,0,-114.668,-19.4982,189.653,16,3,1,2,0,0,0
25,0,-114.668,-19.4982,189.653,17,4,1,3,0,0,0
26,1,-126.612,-18.3332,184.916,16,6,2,4,0,0,0
27,1,-132.186,-20.3437,181.453,16,4,2,2,0,0,0
28,1,-130.778,-19.3919,182.522,17,6,3,3,0,0,0
29,1,-133.211,-20.0092,174.662,16,6,2,4,0,0,0
30,1,-127.271,-19.31,164.784,16,6,3,3,0,0,0
31,1,-123.389,-18.2525,160.055,17,5,2,3,0,0,0
32,1,-121.672,-16.3922,151.938,18,5,3,2,0,0,0
33,1,-116.629,-15.1035,149.515,17,6,3,3,0,0,0
34,1,-101.572,-18.5705,147.864,19,6,2,4,0,0,0
35,1,-88.9105,-19.5123,151.488,16,6,2,3,1,0,0
36,1,-79.1091,-19.0935,153.573,18,5,2,3,0,0,0
37,1,-68.0255,-19.0467,153.335,19,5,2,3,0,0,0
38,1,-54.6816,-19.4825,152.747,16,6,3,3,0,0,0
39,1,-42.9395,-14.3451,152.629,20,5,2,3,0,0,0
40,1,-32.0346,-16.6479,152.062,20,5,2,3,0,0,0
41,1,-25.5108,-18.1967,151.222,16,6,2,3,0,0,1
42,1,-18.4011,-18.1716,151.305,17,4,2,2,0,0,0
43,1,-11.9758,-18.6893,150.616,16,6,2,4,0,0,0
44,1,-12.5915,-17.6093,150.083,18,5,2,3,0,0,0
